2025-05-22 17:03:28 status half-configured libtirpc-common:all 1.3.3+ds-1
2025-05-22 17:03:28 status installed libtirpc-common:all 1.3.3+ds-1
2025-05-22 17:03:28 configure libbrotli1:amd64 1.0.9-2+b6 <none>
2025-05-22 17:03:28 status unpacked libbrotli1:amd64 1.0.9-2+b6
2025-05-22 17:03:28 status half-configured libbrotli1:amd64 1.0.9-2+b6
2025-05-22 17:03:28 status installed libbrotli1:amd64 1.0.9-2+b6
2025-05-22 17:03:28 configure libssl3:amd64 3.0.16-1~deb12u1 <none>
2025-05-22 17:03:28 status unpacked libssl3:amd64 3.0.16-1~deb12u1
2025-05-22 17:03:28 status half-configured libssl3:amd64 3.0.16-1~deb12u1
2025-05-22 17:03:28 status installed libssl3:amd64 3.0.16-1~deb12u1
2025-05-22 17:03:28 configure libdeflate0:amd64 1.14-1 <none>
2025-05-22 17:03:28 status unpacked libdeflate0:amd64 1.14-1
2025-05-22 17:03:28 status half-configured libdeflate0:amd64 1.14-1
2025-05-22 17:03:28 status installed libdeflate0:amd64 1.14-1
2025-05-22 17:03:28 configure linux-libc-dev:amd64 6.1.137-1 <none>
2025-05-22 17:03:28 status unpacked linux-libc-dev:amd64 6.1.137-1
2025-05-22 17:03:28 status half-configured linux-libc-dev:amd64 6.1.137-1
2025-05-22 17:03:28 status installed linux-libc-dev:amd64 6.1.137-1
2025-05-22 17:03:28 configure krb5-locales:all 1.20.1-2+deb12u3 <none>
2025-05-22 17:03:28 status unpacked krb5-locales:all 1.20.1-2+deb12u3
2025-05-22 17:03:28 status half-configured krb5-locales:all 1.20.1-2+deb12u3
2025-05-22 17:03:28 status installed krb5-locales:all 1.20.1-2+deb12u3
2025-05-22 17:03:28 configure libsvtav1enc1:amd64 1.4.1+dfsg-1 <none>
2025-05-22 17:03:28 status unpacked libsvtav1enc1:amd64 1.4.1+dfsg-1
2025-05-22 17:03:28 status half-configured libsvtav1enc1:amd64 1.4.1+dfsg-1
2025-05-22 17:03:28 status installed libsvtav1enc1:amd64 1.4.1+dfsg-1
2025-05-22 17:03:28 configure libgomp1:amd64 12.2.0-14+deb12u1 <none>
2025-05-22 17:03:28 status unpacked libgomp1:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:28 status half-configured libgomp1:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:28 status installed libgomp1:amd64 12.2.0-14+deb12u1
2025-05-22 17:03:28 configure libffi-dev:amd64 3.4.4-1 <none>
2025-05-22 17:03:28 status unpacked libffi-dev:amd64 3.4.4-1
2025-05-22 17:03:28 status half-configured libffi-dev:amd64 3.4.4-1
2025-05-22 17:03:28 status installed libffi-dev:amd64 3.4.4-1
2025-05-22 17:03:28 configure libjbig0:amd64 2.1-6.1 <none>
2025-05-22 17:03:28 status unpacked libjbig0:amd64 2.1-6.1
2025-05-22 17:03:28 status half-configured libjbig0:amd64 2.1-6.1
2025-05-22 17:03:28 status installed libjbig0:amd64 2.1-6.1
